,mean,med,std
2012-09-10,7.9459791383511815,5.353124189784806,7.1622316446879015
2012-09-11,7.9625642490679365,5.407466676707583,7.199645894506822
2012-09-12,7.996617882691192,5.398524590163935,7.2528644486286105
2012-09-13,7.978512925259976,5.303877285538773,7.286817404544312
2012-09-14,7.978930526677019,5.31823962212735,7.294020041102094
2012-09-17,8.351863813589093,7.419598669399113,7.7190873768376
2012-09-18,8.308446705619101,7.4139108501241235,7.646563598422071
2012-09-19,8.334384193234532,7.460599910904321,7.663327461467059
2012-09-20,8.137811748049804,7.384615384615384,7.556169938233046
2012-09-21,8.158684326587538,7.430607962909694,7.4852252754040425
2012-09-24,8.129323755869757,7.3703034297278585,7.438443497723329
2012-09-25,8.107889390845633,7.342249778565101,7.411631193961388
2012-09-26,7.999432660862867,7.221698113207547,7.286402724350313
2012-09-27,7.975708456979491,7.335786019687779,7.223455362110086
2012-09-28,7.992407770240395,7.434357728396348,7.2262622937279275
2012-10-08,8.0141729331063,7.4260066977048105,7.232872793171356
2012-10-09,8.100953003681767,7.48400429076224,7.315239692340282
2012-10-10,8.181467537455712,7.521050236103999,7.397439407466548
2012-10-11,8.147022351405328,7.539519424334395,7.384514349661112
2012-10-12,8.071031953114934,7.018181818181818,7.385303197377286
2012-10-15,8.126624153811994,6.956521739130434,7.5230737389422595
2012-10-16,8.07847157245222,6.960431654676259,7.424760357207431
2012-10-17,8.082042871078446,7.142857142857142,7.4074159623498295
2012-10-18,8.110825823888039,7.111913357400723,7.398203760312615
2012-10-19,8.131322650882659,7.246376811594202,7.436593226480188
2012-10-22,8.148500139453379,7.765746872445657,7.362602063800994
2012-10-23,8.06683993590319,7.181818181818182,7.367791670255146
2012-10-24,8.075607836341936,7.277676950998184,7.364373791423184
2012-10-25,7.984465494586098,7.292035398230089,7.269771909036108
2012-10-26,7.909390451245327,7.451327433628319,7.169922750220414
2012-10-29,7.8893553280773885,7.517482517482517,7.135354102769116
2012-10-30,7.940463001374858,7.673426793192734,7.147229448141848
2012-10-31,7.92018589063738,7.428185758475702,7.150389775466089
2012-11-01,7.882566843237653,7.085427135678393,7.162093679350249
2012-11-02,7.897589417310348,7.251264755480607,7.173731785855166
